"DATE","PRCP","TMAX","TMIN","RAIN"
"1948-01-01",0.47,51,42,"TRUE"
"1948-01-02",0.59,45,36,"TRUE"
"1948-01-03",0.42,45,35,"TRUE"
"1948-01-04",0.31,45,34,"TRUE"
"1948-01-05",0.17,45,32,"TRUE"
"1948-01-06",0.44,48,39,"TRUE"
"1948-01-07",0.41,50,40,"TRUE"
"1948-01-08",0.04,48,35,"TRUE"
"1948-01-09",0.12,50,31,"TRUE"
"1948-01-10",0.74,43,34,"TRUE"
"1948-01-11",0.01,42,32,"TRUE"
"1948-01-12",0,41,26,"FALSE"
"1948-01-13",0,45,29,"FALSE"
"1948-01-14",0,38,26,"FALSE"
"1948-01-15",0,34,31,"FALSE"
"1948-01-16",0,34,28,"FALSE"
"1948-01-17",0,35,29,"FALSE"
"1948-01-18",0,33,28,"FALSE"
"1948-01-19",0,34,27,"FALSE"
"1948-01-20",0,36,29,"FALSE"
"1948-01-21",0,48,32,"FALSE"
"1948-01-22",0.21,47,44,"TRUE"
"1948-01-23",0,47,43,"FALSE"
"1948-01-24",0.1,45,34,"TRUE"
"1948-01-25",0,46,30,"FALSE"
"1948-01-26",0,45,32,"FALSE"
"1948-01-27",0,53,33,"FALSE"
"1948-01-28",0,53,25,"FALSE"
"1948-01-29",0.22,42,34,"TRUE"
"1948-01-30",0.03,47,30,"TRUE"
"1948-01-31",0.21,35,27,"TRUE"
"1948-02-01",0.03,39,30,"TRUE"
"1948-02-02",0,43,26,"FALSE"
"1948-02-03",0.2,38,26,"TRUE"
"1948-02-04",0.14,39,31,"TRUE"
"1948-02-05",0,36,26,"FALSE"
"1948-02-06",0,43,20,"FALSE"
"1948-02-07",0.06,43,27,"TRUE"
"1948-02-08",0.56,44,35,"TRUE"
"1948-02-09",0,45,32,"FALSE"
"1948-02-10",0,39,27,"FALSE"
"1948-02-11",0,46,23,"FALSE"
"1948-02-12",0,43,26,"FALSE"
"1948-02-13",0,47,35,"FALSE"
"1948-02-14",0.5,46,39,"TRUE"
"1948-02-15",0.35,45,37,"TRUE"
"1948-02-16",0.84,52,37,"TRUE"
"1948-02-17",0.13,57,46,"TRUE"
"1948-02-18",0.01,49,32,"TRUE"
"1948-02-19",0,45,30,"FALSE"
"1948-02-20",0.74,45,35,"TRUE"
"1948-02-21",0.46,49,37,"TRUE"
"1948-02-22",0.11,47,38,"TRUE"
"1948-02-23",0,47,36,"FALSE"
"1948-02-24",0.05,44,36,"TRUE"
"1948-02-25",0.98,47,41,"TRUE"
"1948-02-26",0.09,49,37,"TRUE"
"1948-02-27",0,47,35,"FALSE"
"1948-02-28",0,50,32,"FALSE"
"1948-02-29",0,46,34,"FALSE"
"1948-03-01",0.19,47,32,"TRUE"
"1948-03-02",0,50,31,"FALSE"
"1948-03-03",0,52,28,"FALSE"
"1948-03-04",0,57,31,"FALSE"
"1948-03-05",0,47,40,"FALSE"
"1948-03-06",0.06,47,41,"TRUE"
"1948-03-07",0.16,42,34,"TRUE"
"1948-03-08",0.11,42,33,"TRUE"
"1948-03-09",0,47,33,"FALSE"
"1948-03-10",0,51,31,"FALSE"
"1948-03-11",0.08,51,31,"TRUE"
"1948-03-12",0.06,60,37,"TRUE"
"1948-03-13",0.02,54,35,"TRUE"
"1948-03-14",0,52,34,"FALSE"
"1948-03-15",0,52,36,"FALSE"
"1948-03-16",0,50,33,"FALSE"
"1948-03-17",0.01,50,36,"TRUE"
"1948-03-18",0.13,48,35,"TRUE"
"1948-03-19",0,47,33,"FALSE"
"1948-03-20",0.06,44,33,"TRUE"
"1948-03-21",2.04,46,37,"TRUE"
"1948-03-22",0.03,44,30,"TRUE"
"1948-03-23",0,54,31,"FALSE"
"1948-03-24",0.4,54,36,"TRUE"
"1948-03-25",0.33,50,35,"TRUE"
"1948-03-26",0,56,36,"FALSE"
"1948-03-27",0,70,38,"FALSE"
"1948-03-28",0,64,39,"FALSE"
"1948-03-29",0,49,39,"FALSE"
"1948-03-30",0,54,38,"FALSE"
"1948-03-31",0,53,40,"FALSE"
"1948-04-01",0.17,46,37,"TRUE"
"1948-04-02",0.34,45,33,"TRUE"
"1948-04-03",0.03,47,32,"TRUE"
"1948-04-04",0.19,49,31,"TRUE"
"1948-04-05",0.08,51,32,"TRUE"
"1948-04-06",0.09,44,34,"TRUE"
"1948-04-07",0,55,30,"FALSE"
"1948-04-08",0.11,59,32,"TRUE"
"1948-04-09",0.54,50,39,"TRUE"
"1948-04-10",0.18,53,38,"TRUE"
"1948-04-11",0,51,38,"FALSE"
"1948-04-12",0.03,50,39,"TRUE"
"1948-04-13",0.01,59,39,"TRUE"
"1948-04-14",0,63,42,"FALSE"
"1948-04-15",0.33,65,47,"TRUE"
"1948-04-16",0,62,43,"FALSE"
"1948-04-17",0.37,54,44,"TRUE"
"1948-04-18",0,58,41,"FALSE"
"1948-04-19",0,61,37,"FALSE"
"1948-04-20",0,66,39,"FALSE"
"1948-04-21",0.09,55,44,"TRUE"
"1948-04-22",0.24,57,43,"TRUE"
"1948-04-23",0.02,55,42,"TRUE"
"1948-04-24",0.7,46,40,"TRUE"
"1948-04-25",0.02,49,34,"TRUE"
"1948-04-26",0,50,32,"FALSE"
"1948-04-27",0,53,31,"FALSE"
"1948-04-28",0.05,45,38,"TRUE"
"1948-04-29",0,54,33,"FALSE"
"1948-04-30",0.16,56,35,"TRUE"
"1948-05-01",0.01,58,38,"TRUE"
"1948-05-02",0.08,57,35,"TRUE"
"1948-05-03",0.59,53,42,"TRUE"
"1948-05-04",0,57,42,"FALSE"
"1948-05-05",0.56,55,45,"TRUE"
"1948-05-06",0.27,58,42,"TRUE"
"1948-05-07",0,59,40,"FALSE"
"1948-05-08",0.02,54,42,"TRUE"
"1948-05-09",0,52,41,"FALSE"
"1948-05-10",0.26,57,43,"TRUE"
"1948-05-11",0,63,44,"FALSE"
"1948-05-12",0.39,56,42,"TRUE"
"1948-05-13",0.14,55,43,"TRUE"
"1948-05-14",0.03,58,43,"TRUE"
"1948-05-15",0,64,43,"FALSE"
"1948-05-16",0.29,60,47,"TRUE"
"1948-05-17",0,62,43,"FALSE"
"1948-05-18",0.01,60,45,"TRUE"
"1948-05-19",0.1,60,40,"TRUE"
"1948-05-20",0,73,44,"FALSE"
"1948-05-21",0,62,47,"FALSE"
"1948-05-22",0,65,48,"FALSE"
"1948-05-23",0,66,50,"FALSE"
"1948-05-24",0,80,51,"FALSE"
"1948-05-25",0,73,51,"FALSE"
"1948-05-26",0,69,48,"FALSE"
"1948-05-27",0.83,60,50,"TRUE"
"1948-05-28",0.88,53,48,"TRUE"
"1948-05-29",0.3,58,48,"TRUE"
"1948-05-30",0,69,44,"FALSE"
"1948-05-31",0,77,46,"FALSE"
"1948-06-01",0,71,46,"FALSE"
"1948-06-02",0,76,49,"FALSE"
"1948-06-03",0.01,67,52,"TRUE"
"1948-06-04",0,70,49,"FALSE"
"1948-06-05",0,75,48,"FALSE"
"1948-06-06",0,82,53,"FALSE"
"1948-06-07",0,87,59,"FALSE"
"1948-06-08",0,87,60,"FALSE"
"1948-06-09",0,81,57,"FALSE"
"1948-06-10",0,76,55,"FALSE"
"1948-06-11",0.92,60,53,"TRUE"
"1948-06-12",0.18,68,50,"TRUE"
"1948-06-13",0.11,68,51,"TRUE"
"1948-06-14",0,72,50,"FALSE"
"1948-06-15",0,71,50,"FALSE"
"1948-06-16",0.09,60,52,"TRUE"
"1948-06-17",0.01,66,51,"TRUE"
"1948-06-18",0,71,50,"FALSE"
"1948-06-19",0,68,52,"FALSE"
"1948-06-20",0.76,60,52,"TRUE"
"1948-06-21",0.01,63,50,"TRUE"
"1948-06-22",0,62,49,"FALSE"
"1948-06-23",0,70,47,"FALSE"
"1948-06-24",0,64,50,"FALSE"
"1948-06-25",0,64,48,"FALSE"
"1948-06-26",0,74,50,"FALSE"
"1948-06-27",0,79,52,"FALSE"
"1948-06-28",0,82,57,"FALSE"
"1948-06-29",0,83,56,"FALSE"
"1948-06-30",0,74,53,"FALSE"
"1948-07-01",0,69,45,"FALSE"
"1948-07-02",0,70,44,"FALSE"
"1948-07-03",0,77,47,"FALSE"
"1948-07-04",0.24,66,49,"TRUE"
"1948-07-05",0.27,67,50,"TRUE"
"1948-07-06",0.44,71,51,"TRUE"
"1948-07-07",0.09,66,51,"TRUE"
"1948-07-08",0,71,48,"FALSE"
"1948-07-09",0,78,51,"FALSE"
"1948-07-10",0,73,55,"FALSE"
"1948-07-11",0,71,54,"FALSE"
"1948-07-12",0,72,50,"FALSE"
"1948-07-13",0,76,50,"FALSE"
"1948-07-14",0,77,51,"FALSE"
"1948-07-15",0,82,51,"FALSE"
"1948-07-16",0,80,55,"FALSE"
"1948-07-17",0,82,55,"FALSE"
"1948-07-18",0.05,61,54,"TRUE"
"1948-07-19",0.09,64,55,"TRUE"
"1948-07-20",0,67,54,"FALSE"
"1948-07-21",0,74,55,"FALSE"
"1948-07-22",0,71,53,"FALSE"
"1948-07-23",0.01,71,53,"TRUE"
"1948-07-24",0,72,49,"FALSE"
"1948-07-25",0,79,48,"FALSE"
"1948-07-26",0.34,80,52,"TRUE"
"1948-07-27",0,67,51,"FALSE"
"1948-07-28",0,71,53,"FALSE"
"1948-07-29",0,74,51,"FALSE"
"1948-07-30",0,80,57,"FALSE"
"1948-07-31",0,88,57,"FALSE"
"1948-08-01",0,75,54,"FALSE"
"1948-08-02",0,68,55,"FALSE"
"1948-08-03",0.01,68,55,"TRUE"
"1948-08-04",0,64,50,"FALSE"
"1948-08-05",0.36,63,49,"TRUE"
"1948-08-06",0,70,51,"FALSE"
"1948-08-07",0,70,48,"FALSE"
"1948-08-08",0,75,51,"FALSE"
"1948-08-09",0,71,55,"FALSE"
"1948-08-10",0,69,54,"FALSE"
"1948-08-11",0,64,53,"FALSE"
"1948-08-12",0,74,56,"FALSE"
"1948-08-13",0.06,65,53,"TRUE"
"1948-08-14",0,68,49,"FALSE"
"1948-08-15",0.41,68,53,"TRUE"
"1948-08-16",0.05,70,54,"TRUE"
"1948-08-17",0.07,74,55,"TRUE"
"1948-08-18",0,73,55,"FALSE"
"1948-08-19",0,68,52,"FALSE"
"1948-08-20",0.01,64,52,"TRUE"
"1948-08-21",0.11,65,55,"TRUE"
"1948-08-22",0.01,70,54,"TRUE"
"1948-08-23",0.11,69,50,"TRUE"
"1948-08-24",0.34,62,53,"TRUE"
"1948-08-25",0,72,55,"FALSE"
"1948-08-26",0.01,72,52,"TRUE"
"1948-08-27",0.24,61,53,"TRUE"
"1948-08-28",0,80,55,"FALSE"
"1948-08-29",0.05,75,57,"TRUE"
"1948-08-30",0.03,70,54,"TRUE"
"1948-08-31",0,73,51,"FALSE"
"1948-09-01",0,74,50,"FALSE"
"1948-09-02",0.08,69,52,"TRUE"
"1948-09-03",0.05,70,51,"TRUE"
"1948-09-04",0,68,50,"FALSE"
"1948-09-05",0,70,45,"FALSE"
"1948-09-06",0,70,45,"FALSE"
"1948-09-07",0,73,50,"FALSE"
"1948-09-08",0,78,56,"FALSE"
"1948-09-09",0,81,57,"FALSE"
"1948-09-10",0,81,55,"FALSE"
"1948-09-11",0,76,54,"FALSE"
"1948-09-12",0,75,52,"FALSE"
"1948-09-13",0,76,52,"FALSE"
"1948-09-14",0.08,67,50,"TRUE"
"1948-09-15",0.47,64,49,"TRUE"
"1948-09-16",0,63,45,"FALSE"
"1948-09-17",0,68,45,"FALSE"
"1948-09-18",0,70,41,"FALSE"
"1948-09-19",0,70,47,"FALSE"
"1948-09-20",0,69,52,"FALSE"
"1948-09-21",0.34,61,49,"TRUE"
"1948-09-22",0.36,51,43,"TRUE"
"1948-09-23",0.07,54,40,"TRUE"
"1948-09-24",0,58,38,"FALSE"
"1948-09-25",0,59,37,"FALSE"
"1948-09-26",1.51,49,44,"TRUE"
"1948-09-27",0.06,69,44,"TRUE"
"1948-09-28",0.83,59,42,"TRUE"
"1948-09-29",0,57,39,"FALSE"
"1948-09-30",0,63,41,"FALSE"
"1948-10-01",0,76,41,"FALSE"
"1948-10-02",0.03,69,48,"TRUE"
"1948-10-03",0.35,64,52,"TRUE"
"1948-10-04",0.21,61,45,"TRUE"
"1948-10-05",0,55,42,"FALSE"
"1948-10-06",0.14,59,45,"TRUE"
"1948-10-07",0.03,64,46,"TRUE"
"1948-10-08",0,62,41,"FALSE"
"1948-10-09",0,69,38,"FALSE"
"1948-10-10",0.66,55,48,"TRUE"
"1948-10-11",0,56,43,"FALSE"
"1948-10-12",0,57,42,"FALSE"
"1948-10-13",0,54,39,"FALSE"
"1948-10-14",0,58,42,"FALSE"
"1948-10-15",0,56,38,"FALSE"
"1948-10-16",0,60,41,"FALSE"
"1948-10-17",0,65,40,"FALSE"
"1948-10-18",0,67,42,"FALSE"
"1948-10-19",0,62,43,"FALSE"
"1948-10-20",0,63,40,"FALSE"
"1948-10-21",0,57,43,"FALSE"
"1948-10-22",0,61,45,"FALSE"
"1948-10-23",0.19,59,44,"TRUE"
"1948-10-24",0.13,60,44,"TRUE"
"1948-10-25",0.18,56,42,"TRUE"
"1948-10-26",0.04,54,36,"TRUE"
"1948-10-27",0,55,32,"FALSE"
"1948-10-28",0.09,44,35,"TRUE"
"1948-10-29",0,54,40,"FALSE"
"1948-10-30",0.2,46,43,"TRUE"
"1948-10-31",0.08,46,41,"TRUE"
"1948-11-01",0,47,37,"FALSE"
"1948-11-02",0.66,49,41,"TRUE"
"1948-11-03",0.07,53,36,"TRUE"
"1948-11-04",0.18,50,35,"TRUE"
"1948-11-05",0.09,51,39,"TRUE"
"1948-11-06",0,52,34,"FALSE"
"1948-11-07",0,46,34,"FALSE"
"1948-11-08",0,46,27,"FALSE"
"1948-11-09",0,45,27,"FALSE"
"1948-11-10",0,46,30,"FALSE"
"1948-11-11",0,42,31,"FALSE"
"1948-11-12",0.07,45,38,"TRUE"
"1948-11-13",0.15,48,41,"TRUE"
"1948-11-14",0.87,50,41,"TRUE"
"1948-11-15",0.43,46,39,"TRUE"
"1948-11-16",0.67,47,37,"TRUE"
"1948-11-17",0.07,47,35,"TRUE"
"1948-11-18",0.07,45,34,"TRUE"
"1948-11-19",0.22,47,39,"TRUE"
"1948-11-20",0.09,50,41,"TRUE"
"1948-11-21",0.03,48,40,"TRUE"
"1948-11-22",0,55,40,"FALSE"
"1948-11-23",0.33,50,41,"TRUE"
"1948-11-24",0.05,50,42,"TRUE"
"1948-11-25",0.54,48,32,"TRUE"
"1948-11-26",0,45,32,"FALSE"
"1948-11-27",0.49,48,36,"TRUE"
"1948-11-28",0.49,46,36,"TRUE"
"1948-11-29",0.2,45,37,"TRUE"
"1948-11-30",0.29,45,39,"TRUE"
"1948-12-01",0.78,46,38,"TRUE"
"1948-12-02",0,44,34,"FALSE"
"1948-12-03",0.01,41,31,"TRUE"
"1948-12-04",0.11,39,30,"TRUE"
"1948-12-05",0.35,41,33,"TRUE"
"1948-12-06",0.25,42,36,"TRUE"
"1948-12-07",0.29,39,35,"TRUE"
"1948-12-08",0.39,38,32,"TRUE"
"1948-12-09",0.84,45,34,"TRUE"
"1948-12-10",0.16,46,39,"TRUE"
"1948-12-11",0.17,42,38,"TRUE"
"1948-12-12",0.02,42,35,"TRUE"
"1948-12-13",0.3,37,33,"TRUE"
"1948-12-14",0.02,39,33,"TRUE"
"1948-12-15",0.01,39,31,"TRUE"
"1948-12-16",0,45,29,"FALSE"
"1948-12-17",0,36,24,"FALSE"
"1948-12-18",0,37,24,"FALSE"
"1948-12-19",0.73,45,36,"TRUE"
"1948-12-20",0,45,32,"FALSE"
"1948-12-21",0,39,31,"FALSE"
"1948-12-22",0.16,37,28,"TRUE"
"1948-12-23",0,42,19,"FALSE"
"1948-12-24",0,36,16,"FALSE"
"1948-12-25",0,40,29,"FALSE"
"1948-12-26",0,47,22,"FALSE"
"1948-12-27",0,34,21,"FALSE"
"1948-12-28",0.33,45,31,"TRUE"
"1948-12-29",0.29,43,34,"TRUE"
"1948-12-30",0.46,44,35,"TRUE"
"1948-12-31",0.46,41,32,"TRUE"
"1949-01-01",0,35,26,"FALSE"
"1949-01-02",0.03,40,22,"TRUE"
"1949-01-03",0,40,17,"FALSE"
"1949-01-04",0,42,20,"FALSE"
"1949-01-05",0,41,28,"FALSE"
"1949-01-06",0.03,49,37,"TRUE"
"1949-01-07",0.52,46,26,"TRUE"
"1949-01-08",0,30,18,"FALSE"
"1949-01-09",0,32,13,"FALSE"
"1949-01-10",0,30,12,"FALSE"
"1949-01-11",0,37,17,"FALSE"
"1949-01-12",0,36,19,"FALSE"
"1949-01-13",0,41,19,"FALSE"
"1949-01-14",0,36,25,"FALSE"
"1949-01-15",0,46,28,"FALSE"
"1949-01-16",0,43,26,"FALSE"
"1949-01-17",0.03,43,33,"TRUE"
"1949-01-18",0.02,35,29,"TRUE"
"1949-01-19",0,35,24,"FALSE"
"1949-01-20",0,30,20,"FALSE"
"1949-01-21",0.03,35,22,"TRUE"
"1949-01-22",0.01,33,21,"TRUE"
"1949-01-23",0,30,16,"FALSE"
"1949-01-24",0,29,17,"FALSE"
"1949-01-25",0,39,17,"FALSE"
"1949-01-26",0.1,31,26,"TRUE"
"1949-01-27",0,35,24,"FALSE"
"1949-01-28",0,41,16,"FALSE"
"1949-01-29",0,40,26,"FALSE"
"1949-01-30",0,38,28,"FALSE"
"1949-01-31",0,37,29,"FALSE"
"1949-02-01",0,37,23,"FALSE"
"1949-02-02",0.1,33,25,"TRUE"
"1949-02-03",0.03,35,27,"TRUE"
"1949-02-04",0.11,33,24,"TRUE"
"1949-02-05",0.06,35,21,"TRUE"
"1949-02-06",0.06,37,31,"TRUE"
"1949-02-07",0,38,31,"FALSE"
"1949-02-08",0,41,33,"FALSE"
"1949-02-09",0.43,43,34,"TRUE"
"1949-02-10",0.96,43,30,"TRUE"
"1949-02-11",0.02,37,27,"TRUE"
"1949-02-12",0,32,21,"FALSE"
"1949-02-13",0,34,18,"FALSE"
"1949-02-14",0.18,38,30,"TRUE"
"1949-02-15",0.12,42,33,"TRUE"
"1949-02-16",1.83,48,41,"TRUE"
"1949-02-17",0.07,46,33,"TRUE"
"1949-02-18",0.01,40,31,"TRUE"
"1949-02-19",0.32,33,29,"TRUE"
"1949-02-20",0.15,39,26,"TRUE"
"1949-02-21",0.97,47,36,"TRUE"
"1949-02-22",0.47,50,44,"TRUE"
"1949-02-23",0,59,39,"FALSE"
"1949-02-24",0,62,37,"FALSE"
"1949-02-25",0,62,35,"FALSE"
"1949-02-26",0,62,34,"FALSE"
"1949-02-27",0,62,32,"FALSE"
"1949-02-28",0,66,30,"FALSE"
"1949-03-01",0,55,38,"FALSE"
"1949-03-02",0,54,41,"FALSE"
"1949-03-03",0,61,38,"FALSE"
"1949-03-04",0,58,34,"FALSE"
"1949-03-05",0,57,38,"FALSE"
"1949-03-06",0,53,41,"FALSE"
"1949-03-07",0,48,40,"FALSE"
"1949-03-08",0.06,48,38,"TRUE"
"1949-03-09",0,54,33,"FALSE"
"1949-03-10",0,56,39,"FALSE"
"1949-03-11",0,60,41,"FALSE"
"1949-03-12",0.6,47,43,"TRUE"
"1949-03-13",0.08,49,41,"TRUE"
"1949-03-14",0.19,48,41,"TRUE"
"1949-03-15",0.06,54,38,"TRUE"
"1949-03-16",0.34,55,42,"TRUE"
"1949-03-17",0.28,58,43,"TRUE"
"1949-03-18",0.33,63,44,"TRUE"
"1949-03-19",0.65,55,44,"TRUE"
"1949-03-20",0.27,48,41,"TRUE"
"1949-03-21",0,52,37,"FALSE"
"1949-03-22",0,53,33,"FALSE"
"1949-03-23",0,55,33,"FALSE"
"1949-03-24",0,54,36,"FALSE"
"1949-03-25",0.16,53,38,"TRUE"
"1949-03-26",0.03,52,37,"TRUE"
"1949-03-27",0,52,32,"FALSE"
"1949-03-28",0,51,30,"FALSE"
"1949-03-29",0.49,43,35,"TRUE"
"1949-03-30",0,49,35,"FALSE"
"1949-03-31",0,55,30,"FALSE"
"1949-04-01",0.07,46,38,"TRUE"
"1949-04-02",0,55,38,"FALSE"
"1949-04-03",0,62,34,"FALSE"
"1949-04-04",0,72,40,"FALSE"
"1949-04-05",0.02,57,40,"TRUE"
"1949-04-06",0,64,36,"FALSE"
"1949-04-07",0,51,38,"FALSE"
"1949-04-08",0,60,43,"FALSE"
"1949-04-09",0,71,41,"FALSE"
"1949-04-10",0,67,43,"FALSE"
"1949-04-11",0,58,43,"FALSE"
"1949-04-12",0,58,42,"FALSE"
"1949-04-13",0,55,40,"FALSE"
"1949-04-14",0,73,35,"FALSE"
"1949-04-15",0,71,42,"FALSE"
"1949-04-16",0,58,45,"FALSE"
"1949-04-17",0,54,39,"FALSE"
"1949-04-18",0,53,45,"FALSE"
"1949-04-19",0.2,55,43,"TRUE"
"1949-04-20",0.23,57,43,"TRUE"
"1949-04-21",0.01,54,42,"TRUE"
